nombre1;8.5;7.2;9.0;6.8;8.1;7.5;9.2;8.4;7.9;8.7
nombre2;6.5;7.8;6.2;8.0;7.1;6.9;7.5;8.2;7.0;6.8
nombre3;9.2;9.4;9.0;8.9;9.5;9.1;9.7;9.3;9.2;9.8
nombre4;7.0;6.5;7.2;6.8;7.1;6.9;7.3;6.7;7.0;6.8
nombre5;8.1;8.5;7.9;8.3;8.0;8.2;7.8;8.4;8.1;8.0
Juan Pérez;5.5;6.0;7.5;8.0;6.5;7.0;8.5;9.0;7.5;8.0
Maria González;9.0;8.5;9.5;9.0;8.0;9.5;8.5;9.0;9.5;8.5
Carlos Rodríguez;7.0;7.5;8.0;6.5;7.0;8.5;7.0;6.5;8.0;7.5
Ana Martínez;6.0;6.5;7.0;7.5;8.0;8.5;9.0;8.5;8.0;7.5
Luis López;8.5;8.0;7.5;9.0;8.5;8.0;9.5;9.0;8.5;8.0
